"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.427480916030534,1.23816019778933,-0.00127798546442859,-0.582065849239152,0.186160619514606,268554.143214434,72516.9948619919,84530.5106062322,18887.8908325904,231534.557438632,305573.728990235,1947,63400,114
0.435114503816794,1.23455914730836,-0.00132687302045868,-0.589048940229902,0.175678039345126,261222.22000788,72242.1381487095,83755.921284992,18270.3334496522,225413.024461024,297031.415554736,1948,54400,115
0.442748091603053,1.23126793894066,-0.00136117338548499,-0.593574677610299,0.170390684432185,257350.725296992,72019.5421289244,83275.6718781993,18034.7237024993,222003.316368962,292698.134225021,1949,116000,116
0.450381679389313,1.22773642922966,-0.00143302636280422,-0.595818147467617,0.169481638076525,256258.285263624,71817.7222261185,83013.570585334,17600.765479981,221761.418822525,290755.151704723,1950,50200,117
0.458015267175573,1.22377184402828,-0.00150009217553888,-0.599251885073763,0.167648323169843,254436.937325981,71580.0931425306,82667.3044280533,17825.9229675677,219498.770318363,289375.104333599,1951,32000,117
0.465648854961832,1.22033992629773,-0.0015601570545802,-0.603996850762586,0.16129087220062,250093.209664018,71346.7190758049,82141.0179870889,17626.3794940857,215546.140677775,284640.278650262,1952,91400,117
0.473282442748092,1.21695650801335,-0.00165966156064638,-0.613149321128342,0.142325340314499,238930.244877901,71046.1729945392,81050.3765525192,15886.7866475897,207792.715218553,270067.774537249,1953,43500,117
0.480916030534351,1.21260963981885,-0.00177882754770891,-0.616640042873664,0.139110242104895,236578.959125619,70786.9946379644,80642.29878861,15788.432734108,205634.199594434,267523.718656804,1954,65200,117
0.488549618320611,1.20967361529965,-0.00187553692405795,-0.625862981775497,0.116605218089459,224741.608243268,70503.3270143926,79499.9924335398,14653.5084984058,196021.259339241,253461.957147295,1955,47000,117
0.49618320610687,1.20637263224485,-0.00197378212055512,-0.631583607743346,0.105475410174151,218952.657495522,70259.7408005703,78841.9643208346,14440.0668813071,190650.64647381,247254.668517233,1956,43100,117
0.50381679389313,1.20293581090486,-0.00208326103747632,-0.635818406550015,0.099267349454402,215582.438752208,70034.0444124796,78382.4700167733,15047.6961833163,186089.496182607,245075.381321808,1957,31000,117
0.511450381679389,1.19902143126774,-0.00214364235214723,-0.639328526137237,0.0955422488009664,213355.973833963,69796.610095128,77999.0895327361,16821.2919005221,180386.847535505,246325.100132422,1958,64000,117
0.519083969465649,1.19508013773456,-0.0022188996581828,-0.642601951945367,0.0922093155800597,211348.300230106,69561.0723272644,77633.5737478067,16787.3497472999,178445.699329521,244250.901130691,1959,33100,117
0.526717557251908,1.19141411568064,-0.00231052082042721,-0.645865107010618,0.0889817983452723,209421.700014847,69339.7514482766,77287.1720176935,16637.2835447671,176813.223466523,242030.176563171,1960,65200,117
0.534351145038168,1.18826534741188,-0.0023958726679089,-0.649901481930457,0.0821030767863221,206054.847188833,69130.1050871082,76838.4369767386,16217.0621598766,174269.989420428,237839.704957239,1961,74400,117
0.541984732824427,1.18556897374263,-0.00249085853108929,-0.651799892403761,0.0788926109085779,204449.412258851,68970.8828920594,76569.339526352,15486.5813007761,174096.270665678,234802.553852023,1962,65200,117
0.549618320610687,1.18338086866822,-0.0025803066086,-0.653615519880772,0.0741133387659653,202329.583152094,68835.0360417595,76279.5777184624,15767.2325833742,171426.375152814,233232.791151374,1963,91800,117
0.557251908396947,1.18066487868168,-0.00265107667099879,-0.655914249796422,0.0702609672179791,200481.510746396,68669.9340280789,75985.9103740431,15598.2135382229,169909.573988314,231053.447504478,1964,142000,117
0.564885496183206,1.17752691862819,-0.00272687776691117,-0.657771458279507,0.0703463296474776,200092.552473765,68495.3123483187,75800.1677064304,15247.5938603935,170207.8176565,229977.287291031,1965,120000,116
0.572519083969466,1.17485418554634,-0.00280500701131974,-0.660121172641216,0.0669732107535577,198436.2897797,68332.9146940798,75524.2985291829,36125.4861886526,127631.637925942,269240.941633458,1966,80600,115
